Unnamed: 0,SAVSNET_consult_id,Narrative,SAVSNET MPC,Consult_date,Species,Narrative_cleaned
0,1111025,"""Booster: hc satis. O no concerns. Ce NAD. Unable to check teeth due to muzzle but O not concerned himself, no bad breath and what he has seen they are good to him. UTD worming and flea treatment.""",vaccination,27-01-2016 08:40,dog,"""Booster: hc satis. O no concerns. Ce NAD. Unable to check teeth due to muzzle but O not concerned himself, no bad breath and what he has seen they are good to him. UTD worming and flea treatment."""
1,6761083,some tartar care w/ weight! reduce calories by 10-20% keep same flea treatment as ideally will get down below 25kgs.,vaccination,03-10-2019 11:24,dog,some tartar care w/ weight! reduce calories by 10-20% keep same flea treatment as ideally will get down below 25kgs.
2,3938657,"""Came in for 6 month HPC check. BAR Hr=100 mm=pink CRT=1 ab palp NAD and chest clear, skin tent ok.Overweight. Vaccinated with Nobivac KC.Dispensed endectrid and quantex. Moderate otitis.May need treatment but cleaning only for the moment. Advised weight clinic with nurses.Can try satienty support.""",other_healthy,29-11-2017 17:47,unknown,"""Came in for 6 month HPC check. BAR Hr=100 mm=pink CRT=1 ab palp NAD and chest clear, skin tent ok.Overweight. Vaccinated with Nobivac KC.Dispensed endectrid and quantex. Moderate otitis.May need treatment but cleaning only for the moment. Advised weight clinic with nurses.Can try satienty support."""
3,6081319,lame RF 5 days possibly getting better - had left over melox at weekend but usually causes diarr - CE NAD advise regarding likely STI - continue rest/wt loss & use different nsaid.,trauma,09-05-2019 09:24,dog,lame RF 5 days possibly getting better - had left over melox at weekend but usually causes diarr - CE NAD advise regarding likely STI - continue rest/wt loss & use different nsaid.
4,4162251,"""H: Ate some plastic approx a week ago. This has been coming out in small pieces since. Yesterday ate a whole lot of rubbish which included some hard plastic. This morning ate normally but then vomited everything up. Has had numerous vomits throughout the day. In the last hour as vomited bile up 3 times. Is still drinking but vomits shortly after. Passed a stool this morning also and appeared to be ok. Ex: very bright in consult room, looking for food; mm-pale pink; crt-2sec; Hr-100 but jumping around lot; abdo is doughy cranially but no discomfort obvious; intestinal sounds appear normal; back end has dark brown faeces present, loose on thermometer; T-38.2C. A: Gastritis. P: Cerenia and Ranitidine (2.7ml) SC. Instructions to not feed tonight or tomorrow morning. can have water little and often. tomorrow will take blood to check liver and also consider xrays with sedation/GA.""",other_unwell,30-01-2018 16:55,dog,"""H: Ate some plastic approx a week ago. This has been coming out in small pieces since. Yesterday ate a whole lot of rubbish which included some hard plastic. This morning ate normally but then vomited everything up. Has had numerous vomits throughout the day. In the last hour as vomited bile up 3 times. Is still drinking but vomits shortly after. Passed a stool this morning also and appeared to be ok. Ex: very bright in consult room, looking for food; mm-pale pink; crt-2sec; Hr-100 but jumping around lot; abdo is doughy cranially but no discomfort obvious; intestinal sounds appear normal; back end has dark brown faeces present, loose on thermometer; T-38.2C. A: Gastritis. P: Cerenia and Ranitidine (2.7ml) SC. Instructions to not feed tonight or tomorrow morning. can have water little and often. tomorrow will take blood to check liver and also consider xrays with sedation/GA."""
5,1646703,"""seems better now.""",pruritus,24-05-2016 17:04,hamster,"""seems better now."""
6,4484795,"""urine sample obtained (had to be syringed off floor as went in reception): sg 1.030 and all negative except protein moderate. otherwise well and no longer pupd.  keep on reduced dose of meloxaid and retest kidneys in 3 months time to ensure not getting worse. owner feels meloxaid is helping- off for few days and stiff again.""",other_healthy,09-05-2018 16:34,dog,"""urine sample obtained (had to be syringed off floor as went in reception): sg 1.030 and all negative except protein moderate. otherwise well and no longer pupd.  keep on reduced dose of meloxaid and retest kidneys in 3 months time to ensure not getting worse. owner feels meloxaid is helping- off for few days and stiff again."""
7,3333001,"""6th laser tx back/hips. struggling with the heat but otherwise ok.""",other_healthy,06-07-2017 10:07,dog,"""6th laser tx back/hips. struggling with the heat but otherwise ok."""
8,6825629,dhp+l4+kc. bar dude nad.,other_healthy,17-10-2019 18:15,dog,dhp+l4+kc. bar dude nad.
9,6513087,"2nd L4, recheck heart, arrange dental. no murmur today, nervous, marked sinus arrythmia. fine to proceed with dental. owner has had CKCS with MVD in past so understands risk in breed. advise temporary murmur more liekly benign cause.",tumour,09-08-2019 09:15,dog,"2nd L4, recheck heart, arrange dental. no murmur today, nervous, marked sinus arrythmia. fine to proceed with dental. owner has had CKCS with MVD in past so understands risk in breed. advise temporary murmur more liekly benign cause."
10,5467574,. can mix with rice,respiratory,11-12-2018 15:01,dog,. can mix with rice
11,3585320,"""6 month health check. All well, owner has no concerns, no vomiting or diarrhoea, coughing or sneezing. HR - 120 very calm. MM - pink <2. Teeth - beautiful, spoke to owner about brushing from now to prevent tartar but she does also have dental chews. Eyes, ears and coat all clear. Spey wound one end of skin tiny bit raised feels like its just the way the skins healed. Muscle layer not affected. See in febuary for booster.""",other_healthy,06-09-2017 15:18,dog,"""6 month health check. All well, owner has no concerns, no vomiting or diarrhoea, coughing or sneezing. HR - 120 very calm. MM - pink <2. Teeth - beautiful, spoke to owner about brushing from now to prevent tartar but she does also have dental chews. Eyes, ears and coat all clear. Spey wound one end of skin tiny bit raised feels like its just the way the skins healed. Muscle layer not affected. See in febuary for booster."""
12,2986025,"""In for general check over/chat about condition. O really happy with how he's doing at home, DUDE normal. O really pleased with apoquel results. Discussed maintenance with once daily dose. 3.6mg OOS so advise 1/4 16mg tablet. Re-check as needed.""",other_healthy,04-04-2017 18:01,dog,"""In for general check over/chat about condition. O really happy with how he's doing at home, DUDE normal. O really pleased with apoquel results. Discussed maintenance with once daily dose. 3.6mg OOS so advise 1/4 16mg tablet. Re-check as needed."""
13,6007168,"HR 104 capillary refill time 2s. T 39.1 Crt 2s, colour pink and moist, abdo relaxed and comfortable on palpation. Bright and well in self. eating well GI wet with a little wet Harringtons. Passed 2 normal sized faeces, some mucus yesterday, a little shiny today no blood. Think has been licking/rubbing wound with collar edge. Inflammed and thickened, slight overlapped but all sutures sound, small round edge of skin edge proud in centre, slight thickened muscle wall, skin sticky. clean and fit larger BC. Can remove to eat and drink( if needed )but wear all rest of time. Run through meds, all being given as prescribed Post operation check in 3 days but contact <<location>> if any worries. Next appointment in 3 days.",post_op,20-04-2019 09:34,dog,"HR 104 capillary refill time 2s. T 39.1 Crt 2s, colour pink and moist, abdo relaxed and comfortable on palpation. Bright and well in self. eating well GI wet with a little wet Harringtons. Passed 2 normal sized faeces, some mucus yesterday, a little shiny today no blood. Think has been licking/rubbing wound with collar edge. Inflammed and thickened, slight overlapped but all sutures sound, small round edge of skin edge proud in centre, slight thickened muscle wall, skin sticky. clean and fit larger BC. Can remove to eat and drink( if needed )but wear all rest of time. Run through meds, all being given as prescribed Post operation check in 3 days but contact <<location>> if any worries. Next appointment in 3 days."
14,6630973,"Hot spot & OE.  HISTORY: O noticed he has rash on backend, has been bathing it at home. shaking his head and noticed scratching his right ear today o has been applying petshop ear solution at home. PHYSICAL EXAM: Near anus left side hot spot, healing but appears to be spreading, scabbing. Clipped and cleaned with hibi. RIGHT EAR: Sore inflammed horizontal ear cannal, minimal discharge. cytology - coccus +. LEFT EAR: NAD. TREATMENT PLAN: Advised oral abx for hotspot & ear solution for ear infection.",other_unwell,03-09-2019 17:48,dog,"Hot spot & OE.  HISTORY: O noticed he has rash on backend, has been bathing it at home. shaking his head and noticed scratching his right ear today o has been applying petshop ear solution at home. PHYSICAL EXAM: Near anus left side hot spot, healing but appears to be spreading, scabbing. Clipped and cleaned with hibi. RIGHT EAR: Sore inflammed horizontal ear cannal, minimal discharge. cytology - coccus +. LEFT EAR: NAD. TREATMENT PLAN: Advised oral abx for hotspot & ear solution for ear infection."
15,6643874,"Flare up of RH callus.  Long standing history of calluses on hocks, Often RH is bigger than LH and does flare up in time. 3 wk history of swelling, discharge and non healing. O been using buster collar at night but no help.  Current meds: Pred 5mg 1 tab SID- to move to 0.5tabs eod when better.  Examined on floor as prefered by dog, medial soft inflammed swelling on right hock, serosanginous discharge. non painful.  Suspect 2ry infection, Warn takes along time to heal and not easy things. AB, buster collar. re-see 2wks to see if need to extend AB course.",tumour,06-09-2019 09:55,dog,"Flare up of RH callus.  Long standing history of calluses on hocks, Often RH is bigger than LH and does flare up in time. 3 wk history of swelling, discharge and non healing. O been using buster collar at night but no help.  Current meds: Pred 5mg 1 tab SID- to move to 0.5tabs eod when better.  Examined on floor as prefered by dog, medial soft inflammed swelling on right hock, serosanginous discharge. non painful.  Suspect 2ry infection, Warn takes along time to heal and not easy things. AB, buster collar. re-see 2wks to see if need to extend AB course."
16,2298369,"""Has vomitted the last 3 meals around half hr after eating otherwise fine.Still active and palyfull.Going out as usual.Normally eating wiskas after vomiting breakfast and dinner and following breackast,owner has given some gastriintestinal pounch from previous occasion and keeping until now. On examination some weight lost.No skin tenting.Mouth with remaining teeth with tartare No bad breath.Auscultation nad.Abdomen comfortable,No foreigh body palapated or posssible obstructions.T:38.1. Owner reports that can have the occasional sikness when having a furball... Could related with furball or because eating to fast or due to diet.... At the moment going to continue with gastrointestinal for 2-3 meals and then reintroduce normal meals. Recheck if not improvement.""",gastroenteric,13-10-2016 13:59,cat,"""Has vomitted the last 3 meals around half hr after eating otherwise fine.Still active and palyfull.Going out as usual.Normally eating wiskas after vomiting breakfast and dinner and following breackast,owner has given some gastriintestinal pounch from previous occasion and keeping until now. On examination some weight lost.No skin tenting.Mouth with remaining teeth with tartare No bad breath.Auscultation nad.Abdomen comfortable,No foreigh body palapated or posssible obstructions.T:38.1. Owner reports that can have the occasional sikness when having a furball... Could related with furball or because eating to fast or due to diet.... At the moment going to continue with gastrointestinal for 2-3 meals and then reintroduce normal meals. Recheck if not improvement."""
17,3266558,"""BM Ate two icelolly sticks. Less than an hour ago ate two icecreams complete with sticks. 7cm long, rounded ends. No c-s. Is a stick eater. Very stressy and difficult to examine here (even in car park). Eventually got to palpate abdo - soft and relaxed. Don't want to induce emesis and risk oesophageal damage. Advise monitor and re-see if any vomiting/inappetance/change in demeanour. Advise re OOH arrangements.""",gastroenteric,19-06-2017 17:56,dog,"""BM Ate two icelolly sticks. Less than an hour ago ate two icecreams complete with sticks. 7cm long, rounded ends. No c-s. Is a stick eater. Very stressy and difficult to examine here (even in car park). Eventually got to palpate abdo - soft and relaxed. Don't want to induce emesis and risk oesophageal damage. Advise monitor and re-see if any vomiting/inappetance/change in demeanour. Advise re OOH arrangements."""
18,4051765,"""39kg. l6 and l7 degenerative disc MRI <<identifier>>. LH sparing. L flnak mass 1cm diameter fleshy. Next appointment in 2 weeks.""",other_unwell,02-01-2018 11:01,dog,"""39kg. l6 and l7 degenerative disc MRI <<identifier>>. LH sparing. L flnak mass 1cm diameter fleshy. Next appointment in 2 weeks."""
19,1544242,"""History:Check teeth and ears. Scratching occasionally at ears. owner noticed teeth issue. Clinical Exam: Mouth exam - &gt; ext&apos; difficult as wriggly puppy. Full 6 upper incisiors but one retained tooth infront. Also - 1 retained tooth behind incisors in hard palate!. Also felt small lump but couldnt visualise (due to being hyper!) in hard palate.. non errupted tooth? Mandible - &gt; retained teeth behind canines??. could not visualise at all but suspect some issue. Ears - &gt; scoped. No disng of infection but dark brown wax down base of canals and a few hairs. Right worse than left. Start ear cleaner. Differential Diagnosis:Retained teeth or supernummery.. Requires GA and dental rads and plan for removal if necessary.  Plan:Book for castrate and rads of teeth/removal. Check ears under GA.  history attached to file.""",other_unwell,02-05-2016 12:20,dog,"""History:Check teeth and ears. Scratching occasionally at ears. owner noticed teeth issue. Clinical Exam: Mouth exam - &gt; ext&apos; difficult as wriggly puppy. Full 6 upper incisiors but one retained tooth infront. Also - 1 retained tooth behind incisors in hard palate!. Also felt small lump but couldnt visualise (due to being hyper!) in hard palate.. non errupted tooth? Mandible - &gt; retained teeth behind canines??. could not visualise at all but suspect some issue. Ears - &gt; scoped. No disng of infection but dark brown wax down base of canals and a few hairs. Right worse than left. Start ear cleaner. Differential Diagnosis:Retained teeth or supernummery.. Requires GA and dental rads and plan for removal if necessary.  Plan:Book for castrate and rads of teeth/removal. Check ears under GA.  history attached to file."""
20,4011225,"""First vaccination: dhp + l4 + kc. Just been wormed.""",vaccination,18-12-2017 17:28,dog,"""First vaccination: dhp + l4 + kc. Just been wormed."""
21,2527805,"""<<identifier>> leaving spots of blood. The only cause I can find is ear mites despite endectid. Cleaned out and put on canaural.  Next appointment in 10 days.""",other_unwell,06-12-2016 16:58,cat,"""<<identifier>> leaving spots of blood. The only cause I can find is ear mites despite endectid. Cleaned out and put on canaural.  Next appointment in 10 days."""
22,3924716,"""owner feels dog a bit better in self. eyes more comfy and no fluorescein uptake. still really picky with food and poss pu\pd although owner now backtracking on this. poss some diarrhoea. Severe funding issues. Discussed bloods but owner unable to afford. urine sample today. pH 5 prot +2 SG 1.012. PLAN continue eye drops. trial on i\d re ex as necessary""",other_unwell,27-11-2017 10:05,dog,"""owner feels dog a bit better in self. eyes more comfy and no fluorescein uptake. still really picky with food and poss pu\pd although owner now backtracking on this. poss some diarrhoea. Severe funding issues. Discussed bloods but owner unable to afford. urine sample today. pH 5 prot +2 SG 1.012. PLAN continue eye drops. trial on i\d re ex as necessary"""
23,1834456,"""in for recheck re PLE. o reports well at home,days id have diarrhoea this morning but o gave a chew stick yesterday, possibly related c/e unremarkable, wieght gain, no fluid thrill on abdo palpation so think genuine wieght gain, cut down food intake slightly. rest of c/e nothing abnormal detected, bloods for albumin today, o to phone thurs for results.""",other_unwell,05-07-2016 09:11,dog,"""in for recheck re PLE. o reports well at home,days id have diarrhoea this morning but o gave a chew stick yesterday, possibly related c/e unremarkable, wieght gain, no fluid thrill on abdo palpation so think genuine wieght gain, cut down food intake slightly. rest of c/e nothing abnormal detected, bloods for albumin today, o to phone thurs for results."""
24,4630723,"""2nd vac. HR 180. MM pink. XCRT < 1 sec. BCS 5/9. T38.5. History: No reported concerns. Examination: Unremarkable. Plan: 2nd vac given. Cont stronghold. Weigh in 1 month before next dispensed. Rx spay/chip from 4 months.""",vaccination,20-06-2018 09:18,cat,"""2nd vac. HR 180. MM pink. XCRT < 1 sec. BCS 5/9. T38.5. History: No reported concerns. Examination: Unremarkable. Plan: 2nd vac given. Cont stronghold. Weigh in 1 month before next dispensed. Rx spay/chip from 4 months."""
25,909118,"""Prescription check -Cushings. 1 deformed claw dig 2 RH, tightly curled, thickened but no nail bed disease or discomfort - trim. Clip other claws. 2 Cushings 5.5 years into tx &amp; doing well. Fussy eater. Drinking, urine output OK. Weight loss. Caudal trunk alopecia, commidones but doing v well to still be here. Continue 10mg/20mg Vetoryl alternate days. 3 Stiffness LF esp on rising. Discuss NSAID use but O keento try glucosamine. Discuss efficacy doubts, recommend Active+, as green lipped mussel content may be beneficial.""",other_unwell,07-12-2015 17:20,dog,"""Prescription check -Cushings. 1 deformed claw dig 2 RH, tightly curled, thickened but no nail bed disease or discomfort - trim. Clip other claws. 2 Cushings 5.5 years into tx &amp; doing well. Fussy eater. Drinking, urine output OK. Weight loss. Caudal trunk alopecia, commidones but doing v well to still be here. Continue 10mg/20mg Vetoryl alternate days. 3 Stiffness LF esp on rising. Discuss NSAID use but O keento try glucosamine. Discuss efficacy doubts, recommend Active+, as green lipped mussel content may be beneficial."""
26,3941575,"""doing well, no concerns. health check all fine. disc fandw treatment; O keen for bravecto when next needing flea tx - covered until mid Dec with nexguard, adv check weight in recpetion before dispense. disc neutering. 2nd vacc admin - had L2 for first vacc so adv 2nd L4 in 4w. acc to last weight has lost 1kg though to me pup looks like she has grown, BCS 3/5. no v/d etc so suspect last weight wrong. Next appointment in 4 weeks.""",vaccination,30-11-2017 14:24,dog,"""doing well, no concerns. health check all fine. disc fandw treatment; O keen for bravecto when next needing flea tx - covered until mid Dec with nexguard, adv check weight in recpetion before dispense. disc neutering. 2nd vacc admin - had L2 for first vacc so adv 2nd L4 in 4w. acc to last weight has lost 1kg though to me pup looks like she has grown, BCS 3/5. no v/d etc so suspect last weight wrong. Next appointment in 4 weeks."""
27,6571388,"POC day 6. temperature 38.7. mm pink and moist. couldn not stand me anymore. chest asc-nad.  incision site -dry and not infected nor inflamed, can see some scabs on. O reports wants to play and jump all the time. Stools are fine and eating fine as well. Next appointment in 3 days. POC",other_healthy,21-08-2019 12:21,dog,"POC day 6. temperature 38.7. mm pink and moist. couldn not stand me anymore. chest asc-nad.  incision site -dry and not infected nor inflamed, can see some scabs on. O reports wants to play and jump all the time. Stools are fine and eating fine as well. Next appointment in 3 days. POC"
28,1141259,"""Severe flea infestation. Lots of mats - booked with nurses to shave. In good form. V few teeth remaining. HR ~200, occ gallop rhythm? NAD on abdo palp. BCS 5/9. Discussed treatment of environment etc, O has flea spray (acclaim). OK for flea and worm treatment for 12mths.""",pruritus,02-02-2016 16:26,cat,"""Severe flea infestation. Lots of mats - booked with nurses to shave. In good form. V few teeth remaining. HR ~200, occ gallop rhythm? NAD on abdo palp. BCS 5/9. Discussed treatment of environment etc, O has flea spray (acclaim). OK for flea and worm treatment for 12mths."""
29,1497867,"""BOOSTER L. General health check and check chip. No abnormalities detected. kc vaccination as well.""",vaccination,20-04-2016 16:17,dog,"""BOOSTER L. General health check and check chip. No abnormalities detected. kc vaccination as well."""
30,6241208,"In for vaccination - BAR, no problems at home, DUDE normally, mark in the inguinum has disappeared with no further problems. BCS 4/9, skin/coat/limbs WNL, no lumps/bumps found. HR/RR WNL, NAD on auscultation, NAD on abdo palpation. Ears/eyes/nose clean, mucous membranes pink and moist, good teeth. Happy to vaccinate, good for both.",vaccination,14-06-2019 10:02,dog,"In for vaccination - BAR, no problems at home, DUDE normally, mark in the inguinum has disappeared with no further problems. BCS 4/9, skin/coat/limbs WNL, no lumps/bumps found. HR/RR WNL, NAD on auscultation, NAD on abdo palpation. Ears/eyes/nose clean, mucous membranes pink and moist, good teeth. Happy to vaccinate, good for both."
31,6424965,"Presenting for AHC and booster. No concerns since last seen. GHC MM P+M, oral exam ok. Cardiac/thoracic ok. abdo palp NAD lns all ok. a: fit to vaccination. P: tricat/felv SQ. f/w to go home.",vaccination,23-07-2019 13:03,cat,"Presenting for AHC and booster. No concerns since last seen. GHC MM P+M, oral exam ok. Cardiac/thoracic ok. abdo palp NAD lns all ok. a: fit to vaccination. P: tricat/felv SQ. f/w to go home."
32,6598397,"Vacc L4 SC over shoudlers + KC IN.  Hr/rr wnl.  Ears/eyes/coat fine.  NAD abd palpation.  Mobility / joint good ROM no crepitus.  Weightgain instead of loss since last visit.  Discussed weighing her food, half dentistick instead of 1 if want to give them.  O giving her carrot - asked what other veggies - recc brocolli, green beans - O asked about apple but adv quite sugary.  O has no other concerns.",vaccination,28-08-2019 10:21,dog,"Vacc L4 SC over shoudlers + KC IN.  Hr/rr wnl.  Ears/eyes/coat fine.  NAD abd palpation.  Mobility / joint good ROM no crepitus.  Weightgain instead of loss since last visit.  Discussed weighing her food, half dentistick instead of 1 if want to give them.  O giving her carrot - asked what other veggies - recc brocolli, green beans - O asked about apple but adv quite sugary.  O has no other concerns."
33,991934,"""Unable to get up and walk. Slipped at sister&apos;s house over Xmas - seemed to be fine after that. Not eating as well. CP deficits in hindlegs. T 38.4 MM pink; CRT 1-2 sec. Discussed neuro prob in spine. Decided PTS was the kind thing.""",other_unwell,30-12-2015 09:54,dog,"""Unable to get up and walk. Slipped at sister&apos;s house over Xmas - seemed to be fine after that. Not eating as well. CP deficits in hindlegs. T 38.4 MM pink; CRT 1-2 sec. Discussed neuro prob in spine. Decided PTS was the kind thing."""
